last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,xslg,woba,xobp,exit_velocity_avg,launch_angle_avg,hard_hit_percent,
Ortiz, David,120074,2016,40,537,626,38,86,80,13.7,12.8,.315,.620,.401,1.021,.312,.637,.420,.404,93.2,16.9,47.2,
Beltre, Adrian,134181,2016,37,583,640,32,66,48,10.3,7.5,.300,.521,.358,.879,.290,.509,.371,.350,90.1,14.5,40.4,
Beltran, Carlos,136860,2016,39,552,593,29,101,35,17.0,5.9,.295,.513,.337,.850,.268,.432,.358,.314,90.1,12.6,38.5,
Werth, Jayson,150029,2016,37,525,606,21,139,71,22.9,11.7,.244,.417,.335,.752,.246,.415,.327,.342,91.4,15,44.6,
Pierzynski, A.J.,150229,2016,39,247,259,2,29,6,11.2,2.3,.219,.304,.243,.547,.247,.346,.236,.273,87.6,7.3,34.4,
Uribe, Juan,346874,2016,37,238,259,7,49,15,18.9,5.8,.206,.332,.259,.591,.265,.419,.256,.317,88.1,10.1,37.5,
Suzuki, Ichiro,400085,2016,42,327,365,1,42,30,11.5,8.2,.291,.376,.351,.727,.264,.331,.320,.332,84.2,7.4,20,
Martinez, Victor,400121,2016,37,553,610,27,90,50,14.8,8.2,.289,.476,.351,.826,.285,.506,.351,.349,90,15.5,41.8,
Utley, Chase,400284,2016,37,512,565,14,115,40,20.4,7.1,.252,.396,.319,.715,.259,.389,.312,.326,87.7,11.9,33.8,
Pujols, Albert,405395,2016,36,593,650,31,75,49,11.5,7.5,.268,.457,.323,.780,.285,.522,.331,.343,91.6,11.7,44.1,
Holliday, Matt,407812,2016,36,382,426,20,71,35,16.7,8.2,.246,.461,.322,.782,.264,.464,.335,.340,93.1,8.6,47.8,
Teixeira, Mark,407893,2016,36,387,438,15,105,47,24.0,10.7,.204,.362,.292,.654,.220,.396,.287,.307,88.4,12.8,37.3,
Mauer, Joe,408045,2016,33,494,576,11,93,79,16.1,13.7,.261,.389,.363,.752,.280,.448,.327,.381,89.8,3.7,42.9,
Cabrera, Miguel,408234,2016,33,595,679,38,116,75,17.1,11.0,.316,.563,.393,.956,.332,.676,.399,.409,93.6,12.3,50.6,
Gonzalez, Adrian,408236,2016,34,568,633,18,117,55,18.5,8.7,.285,.435,.349,.784,.271,.420,.334,.338,88.2,9.6,33.9,
Phillips, Brandon,408252,2016,35,550,584,11,68,18,11.6,3.1,.291,.416,.318,.735,.262,.373,.315,.295,86.4,10.3,25.5,
